IREF_uA,R10_Ohm,R_bone_Ohm,I_bone_A,V_bone_V,V_bone_N_V,V_OUTA_V,V_ISENSE_V,V_ISET_V,I_bus_A,Req_vbus_Ohm,P_bone_W,P_fet_W,state
100,3000,84000,9.192959404e-05,7.722086,0.277013,3.2710,0.2766872,0.2999987,1.570302599e-04,50945.6,7.098882219e-04,2.994834098e-08,out_of_compliance
100,3000,100000,7.765054435e-05,7.765054,0.234128,3.2711,0.2338630,0.2999987,1.427556363e-04,56039.8,6.029607037e-04,2.061182396e-08,out_of_compliance
100,3000,191000,4.122846920e-05,7.874638,0.124759,3.2712,0.1246295,0.2999987,1.063448257e-04,75227.0,3.246592545e-04,5.352250434e-09,out_of_compliance
200,1500,1000,1.997804372e-04,0.199780,7.798685,2.4896,0.2999989,0.2999987,2.647994922e-04,30211.5,3.991222310e-05,1.498090726e-03,regulating
200,1500,19000,1.997804339e-04,3.795828,4.202637,2.4896,0.2999989,0.2999987,2.647994967e-04,30211.5,7.583322138e-04,7.796707095e-04,regulating
200,1500,31000,1.997803852e-04,6.193192,1.805273,2.4896,0.2999989,0.2999987,2.647994901e-04,30211.5,1.237278271e-03,3.007242767e-04,regulating
200,1500,34000,1.997803278e-04,6.792531,1.205934,2.4896,0.2999989,0.2999987,2.647994933e-04,30211.5,1.357014098e-03,1.809880077e-04,regulating
200,1500,36000,1.997802881e-04,7.192090,0.806375,2.4896,0.2999989,0.2999987,2.647995017e-04,30211.5,1.436837886e-03,1.011639144e-04,regulating
200,1500,38000,1.997802488e-04,7.591649,0.406816,2.4896,0.2999989,0.2999987,2.647994958e-04,30211.5,1.516661616e-03,2.133988159e-05,regulating
200,1500,42000,1.838496020e-04,7.721683,0.276875,3.2710,0.2762237,0.2999987,2.489495109e-04,32135.0,1.419628398e-03,1.197493133e-07,out_of_compliance
200,1500,50000,1.552959176e-04,7.764796,0.233930,3.2711,0.2333996,0.2999987,2.204003725e-04,36297.6,1.205841101e-03,8.241932460e-08,out_of_compliance
200,1500,96000,8.203514503e-05,7.875374,0.123783,3.2712,0.1235249,0.2999987,1.471512514e-04,54365.8,6.460574419e-04,2.117510089e-08,out_of_compliance
