V_bus_V,I_bus_A,I_bone_A,V_bone_P_V,V_3v3_V,V_bone_N_V,I_bus_model_A,err_pct
5.000,1.602996864e-04,-9.978163637e-05,4.999080,3.300000,4.001263,1.602996603e-04,-0.00002
5.020,1.603296837e-04,-9.978163523e-05,5.019079,3.300000,4.021263,1.603296666e-04,-0.00001
5.040,1.603596680e-04,-9.978163408e-05,5.039079,3.300000,4.041263,1.603596728e-04,0.00000
5.060,1.603896740e-04,-9.978163418e-05,5.059079,3.300000,4.061263,1.603896790e-04,0.00000
5.080,1.604196800e-04,-9.978163375e-05,5.079079,3.300000,4.081263,1.604196853e-04,0.00000
5.100,1.604497243e-04,-9.978163457e-05,5.099079,3.300000,4.101262,1.604496915e-04,-0.00002
5.120,1.604796938e-04,-9.978163441e-05,5.119079,3.300000,4.121262,1.604796978e-04,0.00000
5.140,1.605097035e-04,-9.978163228e-05,5.139078,3.300000,4.141262,1.605097040e-04,0.00000
5.160,1.605397039e-04,-9.978163310e-05,5.159078,3.300000,4.161262,1.605397103e-04,0.00000
5.180,1.605697389e-04,-9.978163392e-05,5.179078,3.300000,4.181262,1.605697165e-04,-0.00001
5.200,1.605996991e-04,-9.978163375e-05,5.199078,3.300000,4.201262,1.605997227e-04,0.00001
5.220,1.606297292e-04,-9.978163653e-05,5.219078,3.300000,4.221261,1.606297290e-04,-0.00000
5.240,1.606597457e-04,-9.978163539e-05,5.239078,3.300000,4.241261,1.606597352e-04,-0.00001
5.260,1.606897430e-04,-9.978163424e-05,5.259077,3.300000,4.261261,1.606897415e-04,-0.00000
5.280,1.607197558e-04,-9.978163310e-05,5.279077,3.300000,4.281261,1.607197477e-04,-0.00001
5.300,1.607497704e-04,-9.978163293e-05,5.299077,3.300000,4.301261,1.607497539e-04,-0.00001
5.320,1.607797857e-04,-9.978163473e-05,5.319077,3.300000,4.321260,1.607797602e-04,-0.00002
5.340,1.608097824e-04,-9.978163260e-05,5.339077,3.300000,4.341260,1.608097664e-04,-0.00001
5.360,1.608397642e-04,-9.978163637e-05,5.359076,3.300000,4.361260,1.608397727e-04,0.00001
5.380,1.608697838e-04,-9.978163424e-05,5.379076,3.300000,4.381260,1.608697789e-04,-0.00000
5.400,1.608997749e-04,-9.978163407e-05,5.399076,3.300000,4.401260,1.608997852e-04,0.00001
5.420,1.609297933e-04,-9.978163293e-05,5.419076,3.300000,4.421260,1.609297914e-04,-0.00000
5.440,1.609598048e-04,-9.978163473e-05,5.439076,3.300000,4.441259,1.609597976e-04,-0.00000
5.460,1.609898108e-04,-9.978163456e-05,5.459076,3.300000,4.461259,1.609898039e-04,-0.00000
5.480,1.610198335e-04,-9.978163440e-05,5.479075,3.300000,4.481259,1.610198101e-04,-0.00001
5.500,1.610497918e-04,-9.978163424e-05,5.499075,3.300000,4.501259,1.610498164e-04,0.00002
5.520,1.610798268e-04,-9.978163505e-05,5.519075,3.300000,4.521259,1.610798226e-04,-0.00000
5.540,1.611098211e-04,-9.978163587e-05,5.539075,3.300000,4.541259,1.611098288e-04,0.00000
5.560,1.611398567e-04,-9.978163374e-05,5.559075,3.300000,4.561258,1.611398351e-04,-0.00001
5.580,1.611698262e-04,-9.978163554e-05,5.579075,3.300000,4.581258,1.611698413e-04,0.00001
5.600,1.611998476e-04,-9.978163439e-05,5.599074,3.300000,4.601258,1.611998476e-04,-0.00000
5.620,1.612298505e-04,-9.978163521e-05,5.619074,3.300000,4.621258,1.612298538e-04,0.00000
5.640,1.612598522e-04,-9.978163505e-05,5.639074,3.300000,4.641258,1.612598600e-04,0.00000
5.660,1.612898860e-04,-9.978163488e-05,5.659074,3.300000,4.661257,1.612898663e-04,-0.00001
5.680,1.613198752e-04,-9.978163275e-05,5.679074,3.300000,4.681257,1.613198725e-04,-0.00000
5.700,1.613498775e-04,-9.978163456e-05,5.699073,3.300000,4.701257,1.613498788e-04,0.00000
5.720,1.613798798e-04,-9.978163341e-05,5.719073,3.300000,4.721257,1.613798850e-04,0.00000
5.740,1.614098715e-04,-9.978163619e-05,5.739073,3.300000,4.741257,1.614098913e-04,0.00001
5.760,1.614399220e-04,-9.978163406e-05,5.759073,3.300000,4.761257,1.614398975e-04,-0.00002
5.780,1.614699125e-04,-9.978163390e-05,5.779073,3.300000,4.781256,1.614699037e-04,-0.00001
5.800,1.614999136e-04,-9.978163471e-05,5.799073,3.300000,4.801256,1.614999100e-04,-0.00000
5.820,1.615299152e-04,-9.978163357e-05,5.819072,3.300000,4.821256,1.615299162e-04,0.00000
5.840,1.615599317e-04,-9.978163439e-05,5.839072,3.300000,4.841256,1.615599225e-04,-0.00001
5.860,1.615899315e-04,-9.978163324e-05,5.859072,3.300000,4.861256,1.615899287e-04,-0.00000
5.880,1.616199374e-04,-9.978163307e-05,5.879072,3.300000,4.881256,1.616199349e-04,-0.00000
5.900,1.616499354e-04,-9.978163389e-05,5.899072,3.300000,4.901255,1.616499412e-04,0.00000
5.920,1.616799494e-04,-9.978163471e-05,5.919072,3.300000,4.921255,1.616799474e-04,-0.00000
5.940,1.617099566e-04,-9.978163651e-05,5.939071,3.300000,4.941255,1.617099537e-04,-0.00000
5.960,1.617399681e-04,-9.978163242e-05,5.959071,3.300000,4.961255,1.617399599e-04,-0.00001
5.980,1.617699667e-04,-9.978163422e-05,5.979071,3.300000,4.981255,1.617699661e-04,-0.00000
6.000,1.617999640e-04,-9.978163503e-05,5.999071,3.300000,5.001254,1.617999724e-04,0.00001
6.020,1.618299786e-04,-9.978163585e-05,6.019071,3.300000,5.021254,1.618299786e-04,-0.00000
6.040,1.618599797e-04,-9.978163470e-05,6.039070,3.300000,5.041254,1.618599849e-04,0.00000
6.060,1.618899961e-04,-9.978163650e-05,6.059070,3.300000,5.061254,1.618899911e-04,-0.00000
6.080,1.619199798e-04,-9.978163536e-05,6.079070,3.300000,5.081254,1.619199974e-04,0.00001
6.100,1.619499932e-04,-9.978163421e-05,6.099070,3.300000,5.101254,1.619500036e-04,0.00001
6.120,1.619800209e-04,-9.978163405e-05,6.119070,3.300000,5.121253,1.619800098e-04,-0.00001
6.140,1.620100324e-04,-9.978163486e-05,6.139070,3.300000,5.141253,1.620100161e-04,-0.00001
6.160,1.620400495e-04,-9.978163568e-05,6.159069,3.300000,5.161253,1.620400223e-04,-0.00002
6.180,1.620700153e-04,-9.978163355e-05,6.179069,3.300000,5.181253,1.620700286e-04,0.00001
6.200,1.621000293e-04,-9.978163633e-05,6.199069,3.300000,5.201253,1.621000348e-04,0.00000
6.220,1.621300402e-04,-9.978163519e-05,6.219069,3.300000,5.221253,1.621300410e-04,0.00000
6.240,1.621600487e-04,-9.978163306e-05,6.239069,3.300000,5.241252,1.621600473e-04,-0.00000
6.260,1.621900553e-04,-9.978163584e-05,6.259069,3.300000,5.261252,1.621900535e-04,-0.00000
6.280,1.622200439e-04,-9.978163567e-05,6.279068,3.300000,5.281252,1.622200598e-04,0.00001
6.300,1.622500554e-04,-9.978163747e-05,6.299068,3.300000,5.301252,1.622500660e-04,0.00001
6.320,1.622800769e-04,-9.978163731e-05,6.319068,3.300000,5.321252,1.622800723e-04,-0.00000
6.340,1.623100779e-04,-9.978163223e-05,6.339068,3.300000,5.341252,1.623100785e-04,0.00000
6.360,1.623400993e-04,-9.978163501e-05,6.359068,3.300000,5.361251,1.623400847e-04,-0.00001
6.380,1.623700775e-04,-9.978163289e-05,6.379067,3.300000,5.381251,1.623700910e-04,0.00001
6.400,1.624000760e-04,-9.978163469e-05,6.399067,3.300000,5.401251,1.624000972e-04,0.00001
6.420,1.624301135e-04,-9.978163648e-05,6.419067,3.300000,5.421251,1.624301035e-04,-0.00001
6.440,1.624601170e-04,-9.978163730e-05,6.439067,3.300000,5.441251,1.624601097e-04,-0.00000
6.460,1.624901131e-04,-9.978163714e-05,6.459067,3.300000,5.461250,1.624901159e-04,0.00000
6.480,1.625201240e-04,-9.978163304e-05,6.479067,3.300000,5.481250,1.625201222e-04,-0.00000
6.500,1.625501350e-04,-9.978163681e-05,6.499066,3.300000,5.501250,1.625501284e-04,-0.00000
6.520,1.625801391e-04,-9.978163664e-05,6.519066,3.300000,5.521250,1.625801347e-04,-0.00000
6.540,1.626101364e-04,-9.978163648e-05,6.539066,3.300000,5.541250,1.626101409e-04,0.00000
6.560,1.626401417e-04,-9.978163631e-05,6.559066,3.300000,5.561250,1.626401471e-04,0.00000
6.580,1.626701551e-04,-9.978163320e-05,6.579066,3.300000,5.581249,1.626701534e-04,-0.00000
6.600,1.627001760e-04,-9.978163696e-05,6.599066,3.300000,5.601249,1.627001596e-04,-0.00001
6.620,1.627301714e-04,-9.978163484e-05,6.619065,3.300000,5.621249,1.627301659e-04,-0.00000
6.640,1.627601762e-04,-9.978163664e-05,6.639065,3.300000,5.641249,1.627601721e-04,-0.00000
6.660,1.627901803e-04,-9.978163647e-05,6.659065,3.300000,5.661249,1.627901784e-04,-0.00000
6.680,1.628201838e-04,-9.978163532e-05,6.679065,3.300000,5.681248,1.628201846e-04,0.00000
6.700,1.628501712e-04,-9.978163614e-05,6.699065,3.300000,5.701248,1.628501908e-04,0.00001
6.720,1.628801914e-04,-9.978163401e-05,6.719064,3.300000,5.721248,1.628801971e-04,0.00000
6.740,1.629102011e-04,-9.978163777e-05,6.739064,3.300000,5.741248,1.629102033e-04,0.00000
6.760,1.629401854e-04,-9.978163663e-05,6.759064,3.300000,5.761248,1.629402096e-04,0.00001
6.780,1.629702173e-04,-9.978163548e-05,6.779064,3.300000,5.781248,1.629702158e-04,-0.00000
6.800,1.630002295e-04,-9.978163630e-05,6.799064,3.300000,5.801247,1.630002220e-04,-0.00000
6.820,1.630302293e-04,-9.978163515e-05,6.819064,3.300000,5.821247,1.630302283e-04,-0.00000
6.840,1.630602408e-04,-9.978163597e-05,6.839063,3.300000,5.841247,1.630602345e-04,-0.00000
6.860,1.630902400e-04,-9.978163678e-05,6.859063,3.300000,5.861247,1.630902408e-04,0.00000
6.880,1.631202608e-04,-9.978163760e-05,6.879063,3.300000,5.881247,1.631202470e-04,-0.00001
6.900,1.631502662e-04,-9.978163645e-05,6.899063,3.300000,5.901247,1.631502532e-04,-0.00001
6.920,1.631802690e-04,-9.978163432e-05,6.919063,3.300000,5.921246,1.631802595e-04,-0.00001
6.940,1.632102843e-04,-9.978163514e-05,6.939063,3.300000,5.941246,1.632102657e-04,-0.00001
6.960,1.632402767e-04,-9.978163596e-05,6.959062,3.300000,5.961246,1.632402720e-04,-0.00000
6.980,1.632702944e-04,-9.978163481e-05,6.979062,3.300000,5.981246,1.632702782e-04,-0.00001
7.000,1.633002923e-04,-9.978163759e-05,6.999062,3.300000,6.001246,1.633002845e-04,-0.00000
7.020,1.633302742e-04,-9.978163645e-05,7.019062,3.300000,6.021245,1.633302907e-04,0.00001
7.040,1.633602944e-04,-9.978163628e-05,7.039062,3.300000,6.041245,1.633602969e-04,0.00000
7.060,1.633902843e-04,-9.978163612e-05,7.059061,3.300000,6.061245,1.633903032e-04,0.00001
7.080,1.634203193e-04,-9.978163595e-05,7.079061,3.300000,6.081245,1.634203094e-04,-0.00001
7.100,1.634503216e-04,-9.978163579e-05,7.099061,3.300000,6.101245,1.634503157e-04,-0.00000
7.120,1.634803362e-04,-9.978163660e-05,7.119061,3.300000,6.121245,1.634803219e-04,-0.00001
7.140,1.635103143e-04,-9.978163742e-05,7.139061,3.300000,6.141244,1.635103281e-04,0.00001
7.160,1.635403104e-04,-9.978163529e-05,7.159061,3.300000,6.161244,1.635403344e-04,0.00001
7.180,1.635703257e-04,-9.978163316e-05,7.179060,3.300000,6.181244,1.635703406e-04,0.00001
7.200,1.636003409e-04,-9.978163300e-05,7.199060,3.300000,6.201244,1.636003469e-04,0.00000
7.220,1.636303574e-04,-9.978163774e-05,7.219060,3.300000,6.221244,1.636303531e-04,-0.00000
7.240,1.636603733e-04,-9.978163758e-05,7.239060,3.300000,6.241244,1.636603593e-04,-0.00001
7.260,1.636903731e-04,-9.978163643e-05,7.259060,3.300000,6.261243,1.636903656e-04,-0.00000
7.280,1.637203827e-04,-9.978163626e-05,7.279060,3.300000,6.281243,1.637203718e-04,-0.00001
7.300,1.637503899e-04,-9.978163512e-05,7.299059,3.300000,6.301243,1.637503781e-04,-0.00001
7.320,1.637803928e-04,-9.978163790e-05,7.319059,3.300000,6.321243,1.637803843e-04,-0.00001
7.340,1.638103895e-04,-9.978163577e-05,7.339059,3.300000,6.341243,1.638103906e-04,0.00000
7.360,1.638404110e-04,-9.978163855e-05,7.359059,3.300000,6.361242,1.638403968e-04,-0.00001
7.380,1.638704064e-04,-9.978163642e-05,7.379059,3.300000,6.381242,1.638704030e-04,-0.00000
7.400,1.639004099e-04,-9.978163822e-05,7.399058,3.300000,6.401242,1.639004093e-04,-0.00000
7.420,1.639304085e-04,-9.978163609e-05,7.419058,3.300000,6.421242,1.639304155e-04,0.00000
7.440,1.639604076e-04,-9.978163789e-05,7.439058,3.300000,6.441242,1.639604218e-04,0.00001
7.460,1.639904489e-04,-9.978163576e-05,7.459058,3.300000,6.461242,1.639904280e-04,-0.00001
7.480,1.640204363e-04,-9.978163461e-05,7.479058,3.300000,6.481241,1.640204342e-04,-0.00000
7.500,1.640504497e-04,-9.978163346e-05,7.499058,3.300000,6.501241,1.640504405e-04,-0.00001
7.520,1.640804445e-04,-9.978163723e-05,7.519057,3.300000,6.521241,1.640804467e-04,0.00000
7.540,1.641104461e-04,-9.978163706e-05,7.539057,3.300000,6.541241,1.641104530e-04,0.00000
7.560,1.641404688e-04,-9.978163591e-05,7.559057,3.300000,6.561241,1.641404592e-04,-0.00001
7.580,1.641704705e-04,-9.978163771e-05,7.579057,3.300000,6.581241,1.641704655e-04,-0.00000
7.600,1.642004653e-04,-9.978163755e-05,7.599057,3.300000,6.601240,1.642004717e-04,0.00000
7.620,1.642304824e-04,-9.978163542e-05,7.619057,3.300000,6.621240,1.642304779e-04,-0.00000
7.640,1.642605026e-04,-9.978163525e-05,7.639056,3.300000,6.641240,1.642604842e-04,-0.00001
7.660,1.642904752e-04,-9.978163705e-05,7.659056,3.300000,6.661240,1.642904904e-04,0.00001
7.680,1.643204991e-04,-9.978163689e-05,7.679056,3.300000,6.681240,1.643204967e-04,-0.00000
7.700,1.643504908e-04,-9.978163770e-05,7.699056,3.300000,6.701239,1.643505029e-04,0.00001
7.720,1.643804968e-04,-9.978163754e-05,7.719056,3.300000,6.721239,1.643805091e-04,0.00001
7.740,1.644105319e-04,-9.978163443e-05,7.739055,3.300000,6.741239,1.644105154e-04,-0.00001
7.760,1.644405261e-04,-9.978163819e-05,7.759055,3.300000,6.761239,1.644405216e-04,-0.00000
7.780,1.644705290e-04,-9.978163704e-05,7.779055,3.300000,6.781239,1.644705279e-04,-0.00000
7.800,1.645005522e-04,-9.978163589e-05,7.799055,3.300000,6.801239,1.645005341e-04,-0.00001
7.820,1.645305545e-04,-9.978163376e-05,7.819055,3.300000,6.821238,1.645305403e-04,-0.00001
7.840,1.645605698e-04,-9.978163753e-05,7.839055,3.300000,6.841238,1.645605466e-04,-0.00001
7.860,1.645905708e-04,-9.978163540e-05,7.859054,3.300000,6.861238,1.645905528e-04,-0.00001
7.880,1.646205594e-04,-9.978163720e-05,7.879054,3.300000,6.881238,1.646205591e-04,-0.00000
7.900,1.646505722e-04,-9.978163703e-05,7.899054,3.300000,6.901238,1.646505653e-04,-0.00000
7.920,1.646805757e-04,-9.978163785e-05,7.919054,3.300000,6.921238,1.646805716e-04,-0.00000
7.940,1.647105879e-04,-9.978163670e-05,7.939054,3.300000,6.941237,1.647105778e-04,-0.00001
7.960,1.647405877e-04,-9.978163850e-05,7.959054,3.300000,6.961237,1.647405840e-04,-0.00000
7.980,1.647705973e-04,-9.978163637e-05,7.979053,3.300000,6.981237,1.647705903e-04,-0.00000
8.000,1.648006114e-04,-9.978163714e-05,7.999053,3.300000,7.001237,1.648005965e-04,-0.00001
8.020,1.648044305e-04,-9.978163741e-05,8.001597,3.300000,7.003781,1.648072000e-04,0.00168
8.040,1.648044403e-04,-9.978163840e-05,8.001599,3.300000,7.003783,1.648072000e-04,0.00167
8.060,1.648044698e-04,-9.978163840e-05,8.001599,3.300000,7.003783,1.648072000e-04,0.00166
8.080,1.648044830e-04,-9.978163643e-05,8.001600,3.300000,7.003783,1.648072000e-04,0.00165
8.100,1.648044925e-04,-9.978163938e-05,8.001600,3.300000,7.003783,1.648072000e-04,0.00164
8.120,1.648044938e-04,-9.978163643e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00164
8.140,1.648045161e-04,-9.978163840e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00163
8.160,1.648045418e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00161
8.180,1.648045282e-04,-9.978163840e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00162
8.200,1.648045507e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00161
8.220,1.648045419e-04,-9.978163545e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00161
8.240,1.648045779e-04,-9.978163349e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00159
8.260,1.648046024e-04,-9.978163545e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00158
8.280,1.648045924e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00158
8.300,1.648046151e-04,-9.978163643e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00157
8.320,1.648046138e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00157
8.340,1.648046510e-04,-9.978163545e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00155
8.360,1.648046437e-04,-9.978163545e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00155
8.380,1.648046611e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00154
8.400,1.648046777e-04,-9.978163545e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00153
8.420,1.648046869e-04,-9.978163643e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00152
8.440,1.648046969e-04,-9.978163643e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00152
8.460,1.648046823e-04,-9.978163545e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00153
8.480,1.648047342e-04,-9.978163643e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00150
8.500,1.648047369e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00149
8.520,1.648047221e-04,-9.978163840e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00150
8.540,1.648047338e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00150
8.560,1.648047072e-04,-9.978163840e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00151
8.580,1.648047697e-04,-9.978163643e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00147
8.600,1.648047655e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00148
8.620,1.648047818e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00147
8.640,1.648047943e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00146
8.660,1.648048031e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00145
8.680,1.648048193e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00144
8.700,1.648048319e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00144
8.720,1.648048406e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00143
8.740,1.648048569e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00142
8.760,1.648048694e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00141
8.780,1.648048782e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00141
8.800,1.648048945e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00140
8.820,1.648049070e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00139
8.840,1.648049157e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00139
8.860,1.648049320e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00138
8.880,1.648049445e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00137
8.900,1.648049533e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00136
8.920,1.648049696e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00135
8.940,1.648049821e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00135
8.960,1.648049909e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00134
8.980,1.648050071e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00133
9.000,1.648050197e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00132
9.020,1.648050284e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00132
9.040,1.648050447e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00131
9.060,1.648050572e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00130
9.080,1.648050660e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00129
9.100,1.648050823e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00128
9.120,1.648050948e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00128
9.140,1.648051035e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00127
9.160,1.648051198e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00126
9.180,1.648051323e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00125
9.200,1.648051411e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00125
9.220,1.648051574e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00124
9.240,1.648051699e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00123
9.260,1.648051787e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00123
9.280,1.648051949e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00122
9.300,1.648052075e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00121
9.320,1.648052162e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00120
9.340,1.648052325e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00119
9.360,1.648052450e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00119
9.380,1.648052538e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00118
9.400,1.648052701e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00117
9.420,1.648052826e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00116
9.440,1.648052913e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00116
9.460,1.648053076e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00115
9.480,1.648053201e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00114
9.500,1.648053289e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00114
9.520,1.648053452e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00113
9.540,1.648053577e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00112
9.560,1.648053665e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00111
9.580,1.648053827e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00110
9.600,1.648053953e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00110
9.620,1.648054040e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00109
9.640,1.648054203e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00108
9.660,1.648054328e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00107
9.680,1.648054416e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00107
9.700,1.648054579e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00106
9.720,1.648054704e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00105
9.740,1.648054791e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00104
9.760,1.648054954e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00103
9.780,1.648055079e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00103
9.800,1.648055167e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00102
9.820,1.648055330e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00101
9.840,1.648055455e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00100
9.860,1.648055543e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00100
9.880,1.648055705e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00099
9.900,1.648055831e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00098
9.920,1.648055918e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00098
9.940,1.648056081e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00097
9.960,1.648056206e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00096
9.980,1.648056294e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00095
10.000,1.648056457e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00094
10.020,1.648056582e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00094
10.040,1.648056669e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00093
10.060,1.648056832e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00092
10.080,1.648056957e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00091
10.100,1.648057045e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00091
10.120,1.648057208e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00090
10.140,1.648057333e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00089
10.160,1.648057421e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00088
10.180,1.648057583e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00087
10.200,1.648057709e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00087
10.220,1.648057796e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00086
10.240,1.648057959e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00085
10.260,1.648058084e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00084
10.280,1.648058172e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00084
10.300,1.648058335e-04,-9.978163741e-05,8.001600,3.300000,7.003784,1.648072000e-04,0.00083
