V_bus_V,IREF_uA,R10_Ohm,R_bone_Ohm,kind,I_bone_A,V_bone_V,V_bone_N_V,V_OUTA_V,V_ISENSE_V,V_ISET_V,I_bus_A,Req_vbus_Ohm,P_bone_W,P_fet_W,state
5,10,30000,10000,fixed,9.783748825e-06,0.097837,4.901771,2.4636,0.2999989,0.2999987,7.030093344e-05,71122.8,9.572174108e-07,4.502258672e-05,regulating
5,10,30000,419000,brk_lo,9.783614463e-06,4.099334,0.900274,2.4636,0.2999989,0.2999987,7.030093780e-05,71122.8,4.010630791e-05,5.872864774e-06,regulating
5,10,30000,559000,brk_hi,8.472939726e-06,4.736373,0.263243,3.2710,0.2632132,0.2999987,6.907475340e-05,72385.3,4.013100555e-05,2.514554484e-10,out_of_compliance
5,20,15000,10000,fixed,1.978339987e-05,0.197834,4.801716,2.4667,0.2999989,0.2999987,8.030082020e-05,62265.9,3.913829103e-06,8.905927198e-05,regulating
5,20,15000,210000,brk_lo,1.978326000e-05,4.154485,0.845066,2.4667,0.2999989,0.2999987,8.030082390e-05,62265.9,8.218924901e-05,1.078319475e-05,regulating
5,20,15000,279000,brk_hi,1.698975668e-05,4.740142,0.259424,3.2710,0.2593646,0.2999987,7.759189494e-05,64439.7,8.053386113e-05,1.007746517e-09,out_of_compliance
5,50,6000,10000,fixed,4.978267195e-05,0.497827,4.501547,2.4729,0.2999989,0.2999987,1.103004459e-04,45330.7,2.478314427e-05,2.091642899e-04,regulating
5,50,6000,84000,brk_lo,4.978252949e-05,4.181732,0.817641,2.4729,0.2999989,0.2999987,1.103004489e-04,45330.7,2.081772204e-04,2.576954425e-05,regulating
5,50,6000,112000,brk_hi,4.235135665e-05,4.743352,0.256065,3.2710,0.2559175,0.2999987,1.029536054e-04,48565.6,2.008873899e-04,6.244000567e-09,out_of_compliance
5,100,3000,10000,fixed,9.978179983e-05,0.997818,4.001262,2.4798,0.2999989,0.2999987,1.603010179e-04,31191.3,9.956407577e-05,3.693186574e-04,regulating
5,100,3000,42000,brk_lo,9.978164784e-05,4.190829,0.808250,2.4798,0.2999989,0.2999987,1.602998236e-04,31191.6,4.181678444e-04,5.071417747e-05,regulating
5,100,3000,56000,brk_hi,8.471132430e-05,4.743834,0.255334,3.2710,0.2550389,0.2999987,1.453132923e-04,34408.4,4.018564740e-04,2.496410977e-08,out_of_compliance
5,200,1500,10000,fixed,1.997804328e-04,1.997804,3.000687,2.4896,0.2999989,0.2999987,2.602985618e-04,19208.7,3.991222134e-04,5.395446881e-04,regulating
5,200,1500,21000,brk_lo,1.997802879e-04,4.195386,0.803106,2.4896,0.2999989,0.2999987,2.602985558e-04,19208.7,8.381554321e-04,1.005107885e-04,regulating
5,200,1500,28000,brk_hi,1.694111163e-04,4.743511,0.255158,3.2711,0.2545692,0.2999987,2.300124032e-04,21738.0,8.036035375e-04,9.981549946e-08,out_of_compliance
8,10,30000,10000,fixed,9.783751795e-06,0.097838,7.901745,2.4636,0.2999989,0.2999987,7.480188214e-05,106949.2,9.572179918e-07,7.437359666e-05,regulating
8,10,30000,689000,brk_lo,9.783656808e-06,6.740940,1.258643,2.4636,0.2999991,0.2999989,7.480260080e-05,106948.2,6.595103903e-05,9.379042025e-06,regulating
8,10,30000,919000,brk_hi,8.419948165e-06,7.737932,0.261658,3.2710,0.2616282,0.2999987,7.352287808e-05,108809.7,6.515298941e-05,2.479861826e-10,out_of_compliance
8,20,15000,10000,fixed,1.978340288e-05,0.197834,7.801690,2.4667,0.2999989,0.2999987,8.480176627e-05,94337.7,3.913830294e-06,1.484089702e-04,regulating
8,20,15000,345000,brk_lo,1.978329219e-05,6.825236,1.174288,2.4667,0.2999989,0.2999987,8.480176093e-05,94337.7,1.350256342e-04,1.729631402e-05,regulating
8,20,15000,460000,brk_hi,1.683149482e-05,7.742488,0.257053,3.2710,0.2569943,0.2999987,8.193481961e-05,97638.6,1.303176402e-04,9.870840572e-10,out_of_compliance
8,50,6000,10000,fixed,4.978267523e-05,0.497827,7.501520,2.4729,0.2999989,0.2999987,1.148013892e-04,69685.6,2.478314753e-05,3.585110107e-04,regulating
8,50,6000,138000,brk_lo,4.978255993e-05,6.869993,1.129354,2.4729,0.2999989,0.2999987,1.148013843e-04,69685.6,3.420058517e-04,4.128741879e-05,regulating
8,50,6000,184000,brk_hi,4.209176481e-05,7.744885,0.254507,3.2711,0.2543609,0.2999989,1.071951196e-04,74630.3,3.259958663e-04,6.159632465e-09,out_of_compliance
8,100,3000,10000,fixed,9.978179355e-05,0.997818,7.001235,2.4798,0.2999989,0.2999987,1.648007497e-04,48543.5,9.956406324e-05,6.686613845e-04,regulating
8,100,3000,69000,brk_lo,9.978167790e-05,6.884936,1.114117,2.4798,0.2999989,0.2999987,1.648007620e-04,48543.5,6.869904439e-04,8.123411314e-05,regulating
8,100,3000,92000,brk_hi,8.418891033e-05,7.745380,0.253765,3.2711,0.2534722,0.2999987,1.492919748e-04,53586.3,6.520750812e-04,2.462475644e-08,out_of_compliance
8,200,1500,10000,fixed,1.997804316e-04,1.997804,6.000661,2.4896,0.2999989,0.2999987,2.647995044e-04,30211.5,3.991222086e-04,1.138880698e-03,regulating
8,200,1500,34000,brk_lo,1.997803278e-04,6.792531,1.205934,2.4896,0.2999989,0.2999987,2.647994933e-04,30211.5,1.357014098e-03,1.809880077e-04,regulating
8,200,1500,46000,brk_hi,1.683707736e-04,7.745056,0.253594,3.2711,0.2530089,0.2999987,2.334731539e-04,34265.2,1.304041000e-03,9.846430899e-08,out_of_compliance
